,name,distance,mass,radius
147,2MASS J22282889-4310262,35.0,0.040092696000000004,1.0772381493460457e-05
148,2MASS J22373255+3922398,64.0,0.069684924,1.1918379524679658e-05
149,2MASSW J2244316+204343,56.0,0.011455056,1.4783374602727653e-05
150,2MASS J23224684-3133231,56.0,0.022910112,1.5929372633946848e-05
151,2MASS J23225299-6151275,148.0,0.016227996,1.8221368696385248e-05
152,2MASS J23515044-2537367,67.0,0.084003744,1.3293577162142694e-05
153,2MASSI J2356547-155310,74.0,0.07636704,1.2491378540289258e-05
154,WISE 0410+1502,20.0,0.005727528,1.3408176965264614e-05
155,WISE 0458+6434A,35.9,0.014318820000000001,4.8131917311206314e-05
156,WISE 0458+6434B,35.9,0.00954588,4.3547925186329514e-05
157,WISE 1405+5534,25.3,0.028637640000000002,9.855583068485102e-06
